Sentence,Predicted_Tags
# hotel ciputra semarang managed by swiss-belhotel international,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
####,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
hotels,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"jalan simpang lima no. 1 po box 1288, semarang tengah, semarang, jawa tengah,","['O', 'O', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"indonesia, 50134","['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
staffs have been vaccinated for covid-19.,"['B-STAR', 'I-CURR', 'I-CURR', 'ENDPAD', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
chse-certified accommodations for applying hygiene protocol from,"['B-STAR', 'ENDPAD', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
kemenparekraf.,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
![exterior_building hotel ciputra semarang managed by swiss-belhotel,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
![exterior_building hotel ciputra semarang managed by swiss-belhotel,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
![swimming_pool hotel ciputra semarang managed by swiss-belhotel international,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
![swimming_pool hotel ciputra semarang managed by swiss-belhotel international,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
![sport_facility hotel ciputra semarang managed by swiss-belhotel,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
![sport_facility hotel ciputra semarang managed by swiss-belhotel,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
![bedroom hotel ciputra semarang managed by swiss-belhotel international,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
![bedroom hotel ciputra semarang managed by swiss-belhotel international,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
![bedroom hotel ciputra semarang managed by swiss-belhotel international,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
![bedroom hotel ciputra semarang managed by swiss-belhotel international,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
8.6 impressive,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
price/room/night starts from,"['B-STAR', 'ENDPAD', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rp 905.000,"['B-PR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
check our curated reviews for honest descriptions about this accommodation.,"['O', 'O', 'ENDPAD', 'ENDPAD', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"the room is clean, direct access to mall from the lobby. service was good,","['O', 'B-OCC', 'I-CURR', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
parking was abysmal. this hotel is smokers paradise because they divide the,"['O', 'ENDPAD', 'ENDPAD', 'I-OCC', 'I-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"breakfast area smoking and non smoking. all & all, i do not regret choosing","['B-RONAME', 'I-RNAME', 'I-RNAME', 'ENDPAD', 'I-RONAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
kamyaputra k.,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"friendly staff, clean room, next to the mall, stategic location, small pool,","['B-RNAME', 'B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
masniari k.,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
my family feel happy to stay at hotel ciputra semarang. the room was,"['B-HOTNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
comfortable and the breakfast was also good. the most important thing is their,"['I-HOTNAME', 'I-HOTNAME', 'I-HOTNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"location, in the central of semarang and connected directly with the mall.","['B-OCC', 'B-FPR', 'I-OCC', 'ENDPAD', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RONAME', 'I-RONAME', 'ENDPAD']"
ronald s.,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
facilities,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
ac,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
24-hour front desk,"['B-STAR', 'I-CURR', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
## location info,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"jalan simpang lima no. 1 po box 1288, semarang tengah, semarang, jawa tengah,","['O', 'O', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"indonesia, 50134","['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
open map,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
## nearby places,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
ciputra mall semarang,"['B-HOTNAME', 'O', 'O', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
72 m,"['O', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
smk negeri 8 semarang,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
education,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
469 m,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rumah sakit hermina pandanaran semarang,"['O', 'ENDPAD', 'ENDPAD', 'I-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1.27 km,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1.99 km,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
## popular in the area,"['B-STAR', 'I-CURR', 'I-CURR', 'I-CURR', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
simpang lima semarang,"['B-HOTNAME', 'O', 'O', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
lawang sewu,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
arts & sciences,"['B-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1.50 km,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1.99 km,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
2.73 km,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
distances shown are based on straight line distances. actual travel distances,"['B-STAR', 'I-CURR', 'I-CURR', 'I-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
discover more places on map,"['O', 'O', 'ENDPAD', 'I-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
cheaper if you book through traveloka app now.,"['B-STAR', 'I-CURR', 'I-CURR', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
must travel during these uncertain times? choose the room with free,"['B-STAR', 'B-FPR', 'I-OCC', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
cancellation!,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
## available room types in hotel ciputra semarang managed by swiss-belhotel,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RONAME', 'I-RONAME', 'I-RONAME', 'ENDPAD']"
speed up your search by choosing what you need,"['B-STAR', 'I-CURR', 'I-RONAME', 'I-RONAME', 'I-RONAME', 'I-RONAME', 'I-RONAME', 'I-RONAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation,"['B-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
pay upon check-in,"['B-PTYPE', 'I-PTYPE', 'I-PTYPE', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free breakfast,"['B-CATTYPE', 'I-CATTYPE', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
per night,"['B-NIGHTS', 'I-NIGHTS', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"results for **1 rooms** , **1 guests** , staying from **25 jan 2023** for **1","['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
nights**. 16 room options available.,"['B-STAR', 'I-CURR', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
feeling unsure? you can change your stay details here,"['B-STAR', 'ENDPAD', 'I-CURR', 'I-CURR', 'I-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"wed, 25 jan 2023","['B-STAR', 'I-CURR', 'I-CURR', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1 night,"['B-NIGHTS', 'I-NIGHTS', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
guests and rooms,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"1 adult(s), 0 child, 1 room","['B-OCC', 'I-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
deluxe queen,"['B-RONAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1/5,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
26.0 sqm,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free newspaper,"['B-RACAT', 'O', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
deluxe queen room only,"['B-RNAME', 'I-RNAME', 'I-RONAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation before 24 jan 14:00,"['B-RACAT', 'I-RACAT', 'I-RACAT', 'I-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1 queen bed,"['B-NIGHTS', 'I-NIGHTS', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
without breakfast,"['B-CATTYPE', 'I-CATTYPE', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free wifi,"['B-RACAT', 'O', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation,"['B-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
installment is available for credit cardholders,"['B-HOTNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-HOTNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rp 1.206.667,"['B-PR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rp 905.000,"['B-PR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
/ room / night(s),"['O', 'I-RONAME', 'I-RACAT', 'I-RNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
deluxe queen,"['B-RONAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation before 24 jan 14:00,"['B-RACAT', 'I-RACAT', 'I-RACAT', 'I-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1 queen bed,"['B-NIGHTS', 'I-NIGHTS', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free breakfast,"['B-CATTYPE', 'I-CATTYPE', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free wifi,"['B-RACAT', 'O', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation,"['B-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
installment is available for credit cardholders,"['B-HOTNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-HOTNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
